AAAAMM,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
200612,61.3,10.0,6.0,1.0,1.0
200701,30.3,11.0,1.0,0.0,0.0
200702,89.4,15.0,8.0,2.0,0.0
200703,43.9,14.0,2.0,0.0,0.0
200704,17.5,1.0,1.0,1.0,0.0
200705,96.1,16.0,8.0,4.0,0.0
200706,56.9,10.0,6.0,2.0,0.0
200707,79.7,13.0,5.0,4.0,0.0
200708,173.0,15.0,9.0,6.0,0.0
200709,22.0,6.0,2.0,0.0,0.0
200710,38.8,4.0,2.0,2.0,2.0
200711,39.0,8.0,3.0,0.0,0.0
200712,61.7,11.0,6.0,1.0,0.0
200801,56.7,11.0,3.0,2.0,1.0
200802,35.1,7.0,2.0,2.0,0.0
200803,82.8,20.0,5.0,1.0,0.0
200804,60.4,13.0,4.0,1.0,0.0
200805,60.7,7.0,3.0,2.0,0.0
200806,21.1,6.0,1.0,0.0,0.0
200807,45.8,6.0,2.0,1.0,0.0
200808,118.3,9.0,4.0,3.0,0.0
200809,18.4,6.0,1.0,0.0,0.0
200810,58.3,11.0,3.0,2.0,0.0
200811,61.6,16.0,4.0,0.0,2.0
200812,27.2,8.0,0.0,0.0,1.0
200901,47.7,11.0,4.0,1.0,3.0
200902,45.3,11.0,2.0,1.0,0.0
200903,36.9,9.0,2.0,1.0,1.0
200904,48.0,9.0,4.0,0.0,1.0
200905,53.3,11.0,4.0,2.0,0.0
200906,44.7,8.0,4.0,1.0,0.0
200907,49.0,9.0,4.0,1.0,0.0
200908,10.4,2.0,1.0,0.0,0.0
200909,21.1,3.0,1.0,1.0,0.0
200910,47.7,9.0,3.0,2.0,2.0
200911,70.5,18.0,5.0,1.0,0.0
200912,76.7,17.0,6.0,2.0,0.0
201001,46.8,9.0,3.0,2.0,2.0
201002,58.9,16.0,4.0,2.0,0.0
201003,44.9,9.0,4.0,1.0,2.0
201004,14.0,4.0,2.0,0.0,0.0
201005,63.3,10.0,4.0,2.0,0.0
201006,57.8,9.0,3.0,1.0,0.0
201007,104.7,5.0,3.0,3.0,0.0
201008,78.5,12.0,5.0,2.0,0.0
201009,60.6,10.0,5.0,3.0,0.0
201010,33.1,9.0,2.0,0.0,1.0
201011,92.4,14.0,6.0,3.0,3.0
